antecedents,consequents,antecedent support,consequent support,support,confidence,lift,representativity,leverage,conviction,zhangs_metric,jaccard,certainty,kulczynski
frozenset({5809912}),frozenset({5809910}),0.027695167286245354,0.0604089219330855,0.014312267657992565,0.5167785234899329,8.55467217346412,1.0,0.012639232459474025,1.9444315365551428,0.9082592039961567,0.19395465994962216,0.48571087168661503,0.3768508002065049
frozenset({5809910}),frozenset({5809912}),0.0604089219330855,0.027695167286245354,0.014312267657992565,0.23692307692307693,8.55467217346412,1.0,0.012639232459474025,1.274189800935364,0.9398820763805925,0.19395465994962216,0.21518756525447408,0.3768508002065049
